Chaining,,,,,Linear Probing,,,,,Quadratic Probing,,
I,LF,S,,,I,LF,S,,,I,LF,S
998,0.77,824,,,554,0.77,439,,,531,0.77,420
998,0.68,832,,,764,0.68,609,,,814,0.68,643
998,0.62,858,,,680,0.62,544,,,647,0.62,513
998,0.55,836,,,556,0.55,445,,,584,0.55,470
998,0.51,843,,,638,0.51,506,,,565,0.51,448
998,0.48,806,,,551,0.48,441,,,552,0.48,442
998,0.43,826,,,535,0.43,430,,,582,0.43,471
998,0.41,797,,,499,0.41,398,,,499,0.41,398
998,0.39,817,,,541,0.39,432,,,537,0.39,429
998,0.36,822,,,527,0.36,421,,,535,0.36,428
998,0.34,797,,,499,0.34,398,,,499,0.34,398
998,0.33,808,,,514,0.33,409,,,514,0.33,409
998,0.31,839,,,572,0.31,455,,,548,0.31,437
998,0.30,797,,,499,0.30,398,,,499,0.30,398
998,0.28,797,,,499,0.28,398,,,499,0.28,398
998,0.27,797,,,499,0.27,398,,,499,0.27,398
998,0.26,825,,,535,0.26,427,,,535,0.26,427
